,Nome da empresa,Estado base,Segmento de atuação,Grau de maturidade,Descrição da empresa,Telefone,E-mail
10,Syagrus - Consultoria & Certificação Socioambiental,Acre,Ecoturismo e Floresta,Protótipo,"A Syagrus oferece serviço de consultoria para a regularização ambiental das atividades agroextrativistas e adequação da propriedade às normas ambientais vigentes. O foco é na certificação orgânica e socioambiental da produção florestal não madeireira de agroindústrias, associações, cooperativas agrícolas, produtores rurais, entre outros interessados.",(68) 99915- 5580,contato@syagrus.com.br
11,Aedes Biotech,Acre,Protótipo,,"A Aedes Biotech desenvolve um biopesticida à base de fungos nativos da Amazônia para controlar larvas de Aedes aegypti. Trata-se de uma tecnologia de baixo custo, com alta efetividade de controle larval e grande rendimento. Além disso, esse produto é feito com recursos nacionais e naturais que não agridem o meio ambiente.",(68) 99922-2914,https://instagram.com/aedesbiotech
12,Encontrei Saúde,Acre,"Fármacos, fitoterápicos e nutracêuticos",,"A Encontrei Saúde é uma startup dedicada a ajudar pessoas que sofrem com ansiedade. A iniciativa desenvolve uma plataforma digital onde são disponibilizados cursos, conteúdos e treinamentos que possibilitam a aquisição de conhecimentos e hábitos saudáveis que possam gerar uma vida mais tranquila.",(68) 99984-2565,https://www.instagram.com/encontreisaude/
13,Farmazon,Acre,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"A Farmazon produz ibogaína, substância utilizada no tratamento de dependência química de drogas lícitas e ilícitas, doença de Parkinson, estresse pós-traumático, depressão e outras desordens neurológicas a um baixo custo e de maneira sustentável, a partir de tecnologia nacional e matéria-prima 100% da Amazônia.",(68) 99997-8712 e (68) 99956-8711,Instagram: https://www.instagram.com/farmazonbr/
14,Encantos da Floresta Produtos Naturais Ltda,Acre,Operação,,"A Encantos da Floresta desenvolve linha de produtos composta por seivas e óleos vegetais da Amazônia. Sua principal linha é a Bálsamos Naturais da Floresta Amazônica, composta por seivas e óleos com diversas propriedades medicinais e de uso estético. Os produtos são 100% naturais, sem aditivos químicos, veganos, de qualidade superior e são extraídos de forma sustentável por comunidades tradicionais no coração da Amazônia.",(12) 99726-2600,https://instagram.com/encantosdaflorestabr
15,Seringal Biotec - Produtos e Serviços Biotecnológicos da Amazônia,Acre,"Higiene, Perfumaria e Cosméticos",Ideação,"A Seringal Biotec visa desenvolver produtos e soluções por meio de pesquisa científica e extração de essências da flora amazônica de maneira sustentável, agregando valor aos produtos e gerando riqueza para a cadeia produtiva local.",(68) 97400-6060,Instagram: https://www.instagram.com/seringalbiotec/
16,AMADEU - Amazonian Materials & Design United,Acre,Moda e Ecodesign,Tração,"Com mais de dezoito anos de experiência em pesquisa e desenvolvimento de materiais e projetos de impacto socioambiental positivo, a AMADEU trabalha especialmente com borrachas e emborrachados da floresta Amazônica, assim como em suas aplicações em produtos diversos, tais como acessórios, roupas, calçados, mobiliários e revestimentos.",(61) 98347-7179,Linkedin: https://www.linkedin.com/company/amadeudesign
17,Coletivo Rede AYA Business,Acre,MVP,,O símbolo AYA traduz o que a empresa quer representar: a ancestralidade e a força feminina na sua diversidade de vencer os desafios.,(21) 98020-6540,http://www.linkedin.com/company/aya-business-oficial/
18,Seringueira Couro Vegetal da Amazônia,Acre,Protótipo,,"Indústria de moda sustentável que trabalha com a produção e comercialização de lâminas de couro vegetal, produto natural e de qualidade, sempre prezando pela preservação da Amazônia em primeiro lugar.",(68) 99916-2000,https://instagram.com/courovegetaldaamazonia
19,Teca Artesanato da Amazônia,Acre,Moda e ecodesign,Operação,"A partir do reaproveitamento de matérias-primas da Amazônia e de resíduos têxteis, a empresa produz peças exclusivas e biossustentáveis feitas manualmente, com design inspirado na fauna e flora locais.",(68) 99908-3754,Instagram: https://www.instagram.com/tecartesanato/
20,Befer Agroindustrial e comercial Ltda,Acre,Químicos e Novos Materiais,Protótipo,"Através de pesquisa e desenvolvimento, a Befer busca ser um referencial na geração de soluções inovadoras ecológicas por meio de materiais sustentáveis. Para isso, a empresa conta com equipe e rede de contatos especializadas e engajadas na ideia, produtos e processos sustentáveis e uma estrutura para testagem, prototipagem e experiência mercadológica.",(51) 99943-0590,Instagram: https://www.instagram.com/beferseas/
21,Decomplast,Acre,Químicos e Novos Materiais,Protótipo,"A Decomplast é uma empresa com foco na construção de um produto biológico capaz de degradar plásticos. Para isso, conta com uma equipe formada por estudantes e professores da Universidade Federal do Acre (UFAC).",(68) 98405-4777,Instagram: https://www.instagram.com/decomplast/
22,Hidro Filtrantes Soluções com a Natureza,Acre,Protótipo,,"A Hidro Filtrante é uma empresa que desenvolve tratamento de efluentes com o uso de plantas. Com um viveiro de plantas aquáticas (macrófitas), recomendadas para biofitorestauração de efluentes e de corpos hídricos, a iniciativa utiliza a tecnologia passiva e biológica para o tratamento de esgotos, o que permite uma interação harmoniosa com as áreas e comunidade de entorno. A presença da vegetação no sistema e a ausência de odores, ruídos e aspectos visualmente desagradáveis transforma o olhar dos usuários sobre o tratamento dos esgotos e contribui para a formação de uma cultura de educação ambiental.",(68) 99233-7019,https://www.facebook.com/hidro.filtrante.ac
23,Nexplas,Acre,MVP,,"A Nexplas é uma startup de nanotecnologia que trabalha com o desenvolvimento de materiais sustentáveis e de alta performance. Seu principal produto é o material plástico biodegradável com insumos amazônicos, que serve para produção de embalagens para prolongar a durabilidade dos alimentos.",(68) 99242-5208,http://Instagram.com/nexplas.io
24,Turbid Water,Acre,Químicos e novos materiais,,A Turbid Water é uma empresa que visa a promoção da saúde humana por meio da fabricação de equipamentos de tratamento e monitoramento da qualidade da água para consumo humano.,(68) 9971-2815,turbidwater.dpr@gmail.com
25,Acreaníssimo,Acre,Tecnologia da Informação,Ideação,"A Acreaníssimo desenvolveu a primeira plataforma de e-commerce voltada exclusivamente à comercialização de produtos e serviços da cadeia produtiva da bioeconomia acreana, com o objetivo de proporcionar maior visibilidade e vendas para os negócios locais.",(68) 99956-7851,Facebook: https://www.facebook.com/Acrenissimo
26,Biologia Animal LTDA,Acre,Tecnologia da Informação,Protótipo,"Com isso, a iniciativa viabiliza mudanças no processo de ensino e aprendizagem nos ambientes educacionais, inserindo a população beneficiada como agente ativa desse processo.",(68) 99957-5587,Instagram: https://www.instagram.com/biologia.animal.ltda/
27,BioTech3D,Acre,Protótipo,,"A iniciativa transforma ideias em objetos, melhorando a forma de se comunicar e conectar o público com praticidade e dinamismo.",(68) 99957-5587,http://instagram.com/Bio.Tech3D
28,Doutor Açaí Soluções Digitais,Acre,Tecnologia da Comunicação e Informação,Ideação,"A iniciativa visa facilitar e ampliar o acesso a informações e inovações técnicas para aumentar a qualidade e a produção de açaí, além de possibilitar maior autonomia e assertividade para manejar açaizais. Também será ofertada aos usuários a possibilidade de contratação de consultorias técnicas on-line ou presenciais.",(68) 99977-7852,Facebook: https://www.facebook.com/DoutorAcai068/
29,Instituto GeoLAB,Acre,Tecnologia da Informação,Aceleração,"A iniciativa conta com um hub estatístico na Amazônia, auxiliador da transição global.",(67) 99292-5995,https://linktr.ee/geoLAB.sul
30,Mateiro Digital,Acre,Tecnologia da Informação,Ideação,A acreana Mateiro Digital é uma startup de biotecnologia no desenvolvimento de soluções tecnológicas para otimização de processos e serviços na área ambiental e florestal.,(68) 99971-4786,Instagram: https://www.instagram.com/mateirodigital/
31,Amazon-BIO,Amapá,Alimentos e bebidas,Protótipo,"O conservante natural é obtido a partir de espécies vegetais da Amazônia, com atividade de inibição da oxidação do alimento semelhante ao conservante sintético BHT in vitro, utilizado em cerca de 90% dos alimentos produzidos hoje no país.",(96) 99127-3700,Instagram: https://www.instagram.com/_amazonbio/
32,Amazon Fert,Amapá,Agricultura e Aquicultura,Protótipo,"O Biochar de Açaí, solução desenvolvida por uma empresa que transforma o caroço de açaí em biocarvão, é capaz de mudar as características físico-químicas do solo de forma permanente, o que reduz a necessidade de aplicação de fertilizantes, pois aumenta a retenção dos elementos químicos atuando como um ímã de adubo.",(96) 99113-1515,Instagram: https://www.instagram.com/amazonfert/
33,BactoLac (Freitas & Rocha LTDA),Amapá,Agricultura e Aquicultura,Protótipo,"A solução proposta pela BactoLac consiste em isolar e desenvolver probióticos a partir de microrganismos autóctones que promovem a melhoria da imunidade, da resistência contra patógenos, melhor absorção de nutrientes e redução da taxa de conversão alimentar na produção de peixes nativos como o tambaqui.",(96) 98111-7199,Instagram: https://www.instagram.com/bacto.lac/
34,Ecológica - Gestão Inteligente de Resíduos,Amapá,Agricultura e Aquicultura,Protótipo,"A Ecológica implementa e opera sistemas descentralizados de coleta seletiva de resíduos recicláveis e orgânicos, com rastreabilidade em cada etapa e garantindo o melhor destino para cada tipo de resíduo.",(96) 98115-7415,Instagram: https://www.instagram.com/ecologica.residuos/
35,Jary - Soluções Sustentáveis,Amapá,Agricultura e Aquicultura,Protótipo,"A Jary ? Soluções Sustentáveis produz ração com base nos frutos e frutas amazônicos como uma alternativa eficiente e eficaz para as pisciculturas locais, com alto valor nutricional e 20% mais barata do que a ração comercial.",(96) 99165-6639,Instagram: https://www.instagram.com/jarisolucoessustentaveis/
36,Plural Technology,Amapá,Agricultura e Aquicultura,Operação,"A Plural Technology é uma greentech que desenvolve tecnologia de automação e sensoriamento para cultivo hidropônico. Os sinais captados via IoT são processados e estão disponíveis na plataforma Meu Cultivo, que gera um banco de dados do cultivo utilizado para o desenvolvimento da inteligência.",(96) 99967-4366,Instagram: https://www.instagram.com/plural.technology/
37,Amazon-BIO,Amapá,Alimentos e bebidas,Protótipo,"O conservante natural é obtido a partir de espécies vegetais da Amazônia, com atividade de inibição da oxidação do alimento semelhante ao conservante sintético BHT in vitro, utilizado em cerca de 90% dos alimentos produzidos hoje no país.",(96) 99127-3700,Instagram: https://www.instagram.com/_amazonbio/
38,Conservas Amazônicas,Amapá,Alimentos e Bebidas,Protótipo,"A startup produz conservas artesanais feitas a partir de pescado amazônico. Os produtos utilizam, em sua formulação, diferentes molhos, espécies de peixes e camarões regionais, além de contar com embalagem retornável e reciclável e rotulagem ecológica.",(96) 98418-3082,Instagram: https://www.instagram.com/conservas_amazonicas/
39,Engenho Café de Açaí,Amapá,Alimentos e Bebidas,Operação,"A cadeia produtiva do açaí gera toneladas de resíduos orgânicos agroindustriais, causando grave impacto ambiental devido ao seu acúmulo e descarte em locais inadequados. A Engenho está reutilizando esses resíduos (caroço do açaí) como uma alternativa na produção de bebida aromática (café de açaí), diminuindo os impactos ambientais e criando uma nova fonte de renda.",(96) 99185-6389,Instagram: https://www.instagram.com/engenhocafedeacai/
40,Katu Bebidas,Amapá,Alimentos e Bebidas,Operação,"A Katu Bebidas realiza a produção de kombucha utilizando as superfrutas da Amazônia, como o camu-camu, a fruta com mais vitamina C do planeta, 100 vezes mais que o limão, com validade de 12 meses em temperatura ambiente sem pasteurizar.",(96) 99123-7961,Instagram: https://www.instagram.com/katu.bebidas/
41,Sumano Ingredientes,Amapá,Alimentos e Bebidas,Protótipo,"Também está sendo desenvolvida uma linha de produtos baseados no cupulate, um doce que é preparado a partir de sementes de cupuaçu e pode ser utilizado em confeitaria. O modelo de negócio é B2B, tendo como principais clientes redes atacadistas, supermercados e franquias de alimentação saudável, com foco em acessar mercados nacionais (Sul e Sudeste) e internacionais, os quais são receptivos a produtos voltados para alimentação saudável.",(96) 98134-1772,Instagram: https://www.instagram.com/sumano.ingredientes/
42,Trina Cervejaria,Amapá,Alimentos e Bebidas,Operação,"A Trina Cervejaria realiza a produção de cerveja com biotecnologia patenteada, que além de melhorar a qualidade da cerveja, altera de 30 dias para 48 o tempo de produção.",(96) 99123-7961,Instagram: https://www.instagram.com/trina.cervejaria/
43,Amazon Resíduos LTDA,Amapá,Bioenergia e Biocombustíveis,Protótipo,"Os biodigestores desenvolvidos pela equipe da Amazon Resíduos podem ser replicados em diversos contextos e necessidades, contando com a tecnologia dos microrganismos eficientes da Amazônia, que decompõem de forma acelerada a matéria orgânica e garantem maior obtenção de biogás. A empresa ainda visa desenvolver outros projetos bioenergéticos, como a produção e o fornecimento de energia elétrica limpa e renovável.",(96) 99186-4739,Instagram: https://www.instagram.com/amazonresiduos/
44,Construgreen,Amapá,Casa e construção,Protótipo,A Construgreen trabalha a fim de trazer soluções para o meio ambiente através de produtos que tenham o menor impacto possível na natureza e tragam desenvolvimento para a comunidade local.,(96) 99186-1617,Instagram: https://www.instagram.com/construgreen_ap/
45,Lignum Amazon,Amapá,Casa e Construção,Protótipo,"A Lignum Amazon cria peças estruturais em madeira para a construção civil a preços competitivos, com espécies da Amazônia, para atender o mercado nacional e internacional. Com práticas sustentáveis, busca também valorizar as comunidades ribeirinhas.",(96) 99131-9113,jeffeson13@hotmail.com
46,ReM TIJOLOECO,Amapá,Casa e Construção,Operação,"A ReM TIJOLOECO atua na produção de tijolos ecológicos. Eles são compostos de cimento e solo arenoso, com maior quantidade de areia e o mínimo de argila possível. Por possuir acabamento próprio, dispensa o uso de reboco, pintura e tintas.",(96) 98110-1021,Instagram: https://www.instagram.com/rem_tijoloeco/
47,Urubatan Piatã,Amapá,Casa e Construção,Operação,A Urubatan Piatã desenvolveu um produto usando as cascas da castanha que são descartadas pela indústria visando à substituição do material proveniente do petróleo.,(21) 99526-1966,http://urubatanpiata.com.br/
48,Vitrum,Amapá,Casa e Construção,Protótipo,"A Vitrum realiza a coleta de resíduos de vidro para utilizá-los na produção da areia de vidro, que poderá substituir parcial ou integralmente agregados naturais no desenvolvimento de peças feitas de concreto de forma artesanal ou para o uso na construção civil, trazendo maior sustentabilidade para o setor.",(96) 99107-9552,Instagram: https://www.instagram.com/vitrum.ap/
49,InovaManejo,Amapá,Ecoturismo e Floresta,Protótipo,"A InovaManejo foi criada com o objetivo de fomentar o manejo florestal de uso múltiplo na região amazônica. Por meio da aplicação de tecnologias, planejamento e gestão florestal, a iniciativa visa fortalecer a bioeconomia, além de promover a conservação e a manutenção da floresta em pé por meio de seu uso racional.",(96) 99112-8179,Instagram: https://www.instagram.com/inova.manejo/
50,Amazonly,Amapá,"Fármacos, Fitoterápicos e Nutracêuticos",Tração,"A Amazonly visa desenvolver e produzir extratos naturais bioativos de alta funcionalidade, provenientes do bioma amazônico e ainda pouco explorados em larga escala para o mercado nutracêutico. A iniciativa representa um novo modelo na prevenção de importantes patologias relacionadas ao declínio da saúde e decorrentes do processo de envelhecimento.",(96) 99902-2992,Facebook: https://www.facebook.com/amazonlyBR/
51,DruGet,Amapá,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"A plataforma integrada dá um poder de decisão mais rápido e assertivo ao cliente, permitindo que apenas as moléculas mais promissoras sigam para os futuros testes.",(96) 98133-3621,Instagram: https://www.instagram.com/druget_tech/
52,Cmella Beauty,Amapá,"Higiene, Perfumaria e Cosméticos",Operação,A Cmella Beauty é uma startup de origem Amazônica que desenvolve cosméticos naturais que reduzem impactos ambientais e promovem uma vida sustentável.,,LinkedIn: https://www.linkedin.com/company/cmellabeauty/
53,YBYRÁ Biodesign da Amazônia,Amapá,Moda e Ecodesign,Protótipo,"A YBYRÁ Biodesign da Amazônia fomenta a bioeconomia da região através da reutilização de troncos de árvores que caem de forma natural. A matéria-prima passa, então, por processo de secagem, selagem e pintura, mesclando o rústico da madeira com outros insumos para a produção de peças exclusivas, como mesas, bancadas e luminárias.",,ybyrabiodesign@gmail.com
54,Semente Nativa,Amapá,Moda e Ecodesign,Protótipo,"A Semente Nativa produz biojoias de forma sustentável a partir de resíduos de pesca que seriam descartados, como madeira, escama, espinha, cascas de árvores e de frutos.",(96) 99913-6601,Instagram: https://www.instagram.com/sementenativabiojoias/
55,TAL Ecodesign,Amapá,Moda e Ecodesign,Ideação,"A TAL Ecodesign busca aliar tecnologia ao design inovador, desenvolvendo móveis de madeira legal e com responsabilidade socioambiental por meio de parcerias com marceneiros tradicionais, arquitetos e designers.",(96) 98122-1958 e (96) 98134-3014,Instagram: https://www.instagram.com/tal_ecodesign/
56,Befer Agroindustrial e Comercial Ltda,Amapá,Químicos e Novos Materiais,Protótipo,"A Befer é uma startup que, através de pesquisa e desenvolvimento, busca ser um referencial na geração de soluções inovadoras ecológicas utilizando matérias sustentáveis para fortalecer a economia circular.",(51) 99943-0590,Instagram: https://www.instagram.com/beferseas/
57,Eco Inova,Amapá,Químicos e Novos Materiais,Protótipo,"O projeto tem como objetivo o reaproveitamento de carcaças para produzir farinha e óleo de peixe, aplicando um processo de produção inovador e capaz de promover a redução do volume de lixo orgânico (carcaça de peixe) descartado no aterro sanitário da cidade de Oiapoque, Amapá.",(96) 98806-3688,Youtube: https://www.youtube.com/watch?v=XkUs7hKLgHw
58,Mazodan Laboratório e Produtos Cimentícios,Amapá,Químicos e Novos Materiais,Protótipo,"A Mazodan visa criar produtos industrializados para construção civil utilizando minérios e sedimentos do Rio Amazonas causadores dos processos de assoreamento e degradação ambiental. O uso desses minerais resolve o problema de destinação desses sedimentos, abrindo uma nova cadeia produtiva dentro da construção com materiais que até então não tinham uso.",(96) 99129-0979,LinkedIn: https://www.linkedin.com/company/mazodan-mzd/
59,AçaíMaps,Amapá,Tecnologia da Informação,Protótipo,"A plataforma disponibiliza um gerenciamento que apresenta ao produtor rural a possibilidade de acompanhar todo o processo produtivo, desde a regularização do imóvel à etapa de comercialização de sua produção. O público-alvo são agricultores ligados a cooperativas e associações da cadeia produtiva do açaí com cultivos em sistema de terra firme, assim como em áreas de várzea com produção extrativista.",(96) 98109-3034,Instagram: https://www.instagram.com/acaimaps/
60,Meta Carbon,Amapá,Tecnologia da Informação,Protótipo,"Os compradores se cadastram na plataforma e recebem as melhores opções de projetos de créditos de carbono de acordo com sua necessidade. A Meta Carbon acompanha o match entre o comprador e o vendedor e abre as informações de contato para a negociação, acompanhando o processo até o final da transação.",(96) 98422-7829,Facebook: https://www.facebook.com/MetaCarbon
61,YWY Trace,Amapá,Tecnologia da Informação,Protótipo,"A YWY Trace desenvolveu o Certificado de Sustentabilidade com o propósito de atender a cadeia produtiva amazônica e de produtos preponderantes na região. Essa solução consegue entregar dados de manejo, sustentabilidade, perdas e até mesmo uma avaliação do usuário.",(96) 98121-8460,https://ywy-trace.webflow.io/
62,Agricon Business,Amazonas,Agricultura e Aquicultura,Operação,"A plataforma usa a tecnologia blockchain para conectar produtores rurais a compradores globais, garantindo rastreabilidade, transparência e segurança nas comercializações de produtos agrícolas.",(55) 99163-4737,Instagram: https://www.instagram.com/agriconbusiness/
63,Amazonia Bioverse,Amazonas,Agricultura e Aquicultura,Operação,"A Amazonia Bioverse desenvolveu uma tecnologia para detectar parasitas com exatidão e rapidez e ser aplicada em todas as fases da cadeia de produção do tambaqui e da piscicultura. A inovação busca diminuir as perdas econômicas, melhorar a saúde dos animais produzidos e oferecer suporte técnico para o produtor.",(92) 98170-4333,LinkedIn: www.linkedin.com/company/amazonia-bioverse
64,Bioamazon,Amazonas,Agricultura e Aquicultura,Protótipo,"A BioAmazon realiza a produção de biofertilizantes na forma liofilizada, obtendo maior viabilidade celular. Essa solução biotecnológica apresenta vantagens como validade de até 2 anos; maior segurança e confiabilidade na qualidade do produto quanto ao microrganismo isolado e livre de contaminação; e logística de distribuição facilitada por ser um produto mais leve e vendido em uma concentração alta de células.",(92) 98136-1896,LinkedIn: https://www.linkedin.com/company/bioamazon/
65,TerraMares,Amazonas,Agricultura e Aquicultura,Tração,"A TerraMares é uma biotech que conecta produtores e empresas às tecnologias de microalgas para o agronegócio. As principais áreas de atuação da startup são no desenvolvimento de bioinsumos, Pesquisa, Desenvolvimento e Inovação (P&DI) e consultoria.",(53) 99164-6134,LinkedIn: https://www.linkedin.com/company/76400881/admin/
66,Amanayara Alimentos,Amazonas,Alimentos e Bebidas,Protótipo,"A empresa deseja desenvolver uma tecnologia para produzir o análogo do caviar a partir de ovas de peixes amazônicos que são muitas vezes descartadas durante o processamento do pescado ou comercializadas com baixo valor. A ideia é transformá-las em um produto com qualidade superior, acentuando suas cores, formas e sabores, atingindo alto valor de mercado.",(92) 99363-5987,amazoniaperolas@gmail.com
67,Coimbra Alimentos da Amazônia,Amazonas,Alimentos e Bebidas,Tração,"A Coimbra Alimentos da Amazônia fabrica biscoitos e cookies regionais de castanha e cupuaçu para serem comercializados em mercadinhos, postos de conveniência, supermercados e atacadistas. Todos os produtos são livres de conservantes e corantes e feitos com responsabilidade socioambiental.",(92) 99180-2525,cttcoimbra.ts@gmail.com
68,Terramazonia Superplants,Amazonas,Alimentos e Bebidas,Operação,"A ideia é explorar a biodiversidade amazônica para a geração de uma economia socioambiental responsável e o desenvolvimento de produtos de alto valor agregado, que podem alcançar todo o mercado nacional e também mercados internacionais, assim como melhorar a qualidade de vida das comunidades ribeirinhas, com processos justos que gerem sustentabilidade e proteção ao meio ambiente.",(92) 98204-2014,Instagram: https://www.instagram.com/terramz_superplants/
69,Amazon Eco Technology,Amazonas,Bioenergia e Biocombustíveis,Protótipo,"A redução do consumo se dará na ordem de 30% e uma diminuição da emissão de gases geradores de efeito estufa na ordem de 90%, o que ajudará  na economia de custos financeiros e ambientais, inclusive apoiando a agenda 2030 do Brasil para que o país atinja as metas de redução do aquecimento global.",(92) 99304-0284,marcel_cruz@hotmail.com
70,Amazon Doors,Amazonas,Ecoturismo e Floresta,Tração,A Amazon Doors conecta empresas com comunidades para o desenvolvimento de projetos que beneficiam famílias agroextrativistas e promovem cadeias produtivas sustentáveis. O modelo de receita é por cobrança de taxa de gestão e pela execução de atividades nas comunidades beneficiadas.,(92) 98838-0520,LinkedIn:   https://www.linkedin.com/company/amazon-doors
71,iBi - Abelhas da Amazônia,Amazonas,Ecoturismo e Floresta,Protótipo,A iBi é especializada em produtos advindos das abelhas da Amazônia e serviços ecossistêmicos associados. O foco principal é a produção de extrato de própolis das abelhas indígenas sem ferrão e a oferta de serviços de assessoria em meliponicultura (criação de abelhas indígenas sem ferrão).,(92) 99194-5404,Instagram: https://www.instagram.com/ibi.abelhas/
72,Save The Green,Amazonas,Ecoturismo e Floresta,Protótipo,"A Save The Green surgiu com o objetivo de democratizar o mercado de carbono no Brasil e se tornar referência em descarbonização para pessoa jurídica e física, tendo diferentes tipos de produtos para todas as demandas.",(83) 99133-2815,Instagram: https://www.instagram.com/savethegreen.world/
73,Tupy Investimentos Agroflorestais,Amazonas,Ecoturismo e Floresta,Ideação,A Tupy deseja disponibilizar serviços como implantação e arrendamento de agroflorestas com opção de compra da propriedade ao final do contrato; cursos e treinamentos para os produtores agroflorestais; auxílio na implementação de contratos de crédito de carbono e pagamentos por serviços ambientais; compra coletiva de insumos para reduzir o custo de aquisição; auxílio na comercialização dos lotes de produção; consolidação de lotes de produtores para exportar; e selos e certificações de qualidade.,(51) 99354-1489,Instagram: https://www.instagram.com/tupyflorestal/
74,Urupy Biotech,Amazonas,"Fármacos, Fitoterápicos e Nutracêuticos",Ideação,"O primeiro projeto visa a criação de bioprodutos com potenciais terapêuticos e farmacológicos, baseados em um fungo que possui propriedades antivirais, antioxidantes, antifúngicas, antibacterianas e cicatrizantes.",(92) 98105-1594,rodrigo.felipe720@gmail.com
75,Biozer da Amazônia,Amazonas,"Higiene, Perfumaria e Cosméticos",Protótipo,"A Biozer da Amazônia, a partir de estudos científicos realizados com ativos oriundos da biodiversidade amazônica, vem desenvolvendo produtos naturais, na linha de fitoterápicos, alimentos funcionais e cosméticos naturais amazônicos.",(92) 99290-8690,Facebook: https://www.facebook.com/simbiozeamazonica/
76,KEVBeauty,Amazonas,"Higiene, Perfumaria e Cosméticos",Operação,"Marca de cosméticos nativa da região Amazônica que leva beleza e autocuidado através de produtos naturais, veganos e livres de crueldade animal, atrelados ao desenvolvimento sustentável.",(51) 99888-1139,Instagram: https://www.instagram.com/kevbeautybr/
77,Prospecta Biofábrica,Amazonas,"Higiene, Perfumaria e Cosméticos",Protótipo,"A Prospecta Biofábrica produz plantas de forma sustentável e contribui nas pesquisas de produção sustentável e conservação de espécies nativas, visando à preservação da biodiversidade amazônica.",(92) 98119-0737,Facebook: https://www.facebook.com/prospecta.am
78,Innovatus Brasil,Amazonas,"Higiene, Perfumaria e Cosméticos",Protótipo,"A Innovatus Brasil desenvolve e fabrica equipamentos inovadores baseados na técnica de micro-ondas para a extração de óleos fixos e essenciais. Em testes em laboratório, verificou-se que a tecnologia é capaz de extrair cerca de 98% de todo óleo presente na biomassa processada sem alterar as propriedades organolépticas do óleo extraído.",(19) 98978-6556,LinkedIn: https://www.linkedin.com/company/innovatusbrasil/
